id;razao_social;nome_fantasia;inscricao_estadual;documento;email;tipo_empresa;status;criado_em;atualizado_em
dd8bc665-0397-485c-b47b-edc3b824f5a1;Congelado Metrics back-end;bifurcated payment Borders;SSL multi-byte Gostoso;14;AnaClara_Carvalho@live.com;COMERCIO;true;2022-10-13T05:40:39;2022-10-13T04:19:16
fbedf5fa-43f5-4c78-8c3b-fcec2b51a187;Saúde Metal Dinar;monitor real-time;EXE plug-and-play;14;MariaLuiza65@live.com;COMERCIO;true;2022-10-13T01:03:16;2022-10-13T06:05:20
a761f4ec-c4b3-473e-b5b1-74390678780c;synergy Gerais e-tailers;Rua Licenciado;cobre Avon Luvas;14;Alessandro_Batista@bol.com.br;INDUSTRIA;false;2022-10-13T02:02:23;2022-10-13T16:36:19
c8f0d462-d3a5-4b9f-a155-d2339216c98d;Branding Lead 1080p;Fresco Sem Usability;Specialist Plástico;14;Meire47@live.com;INDUSTRIA;false;2022-10-13T16:52:47;2022-10-13T13:42:29
21acb580-f80a-4b03-9059-9f703845cc89;invoice navigating;Extended alarm;Rodovia;14;Beatriz70@yahoo.com;INDUSTRIA;false;2022-10-12T21:45:27;2022-10-12T20:12:35
5f62f0c6-df78-4e55-bfff-80b7f5d4a94d;Goiás multi-state Customer;Future SSL orchestrate;neural THX;14;Calebe.Nogueira@gmail.com;COMERCIO;false;2022-10-13T06:14:04;2022-10-13T01:35:01
db1e02c1-f3a3-4866-97bd-ca9cb5bb32b4;circuit Bedfordshire interfaces;Itália Algodão;grow;14;Yago56@yahoo.com;COMERCIO;false;2022-10-12T20:18:22;2022-10-13T04:09:20
748ad53c-6995-49e2-83ba-14e6717adf10;withdrawal;generate;Dynamic;14;Klber73@hotmail.com;COMERCIO;true;2022-10-13T13:57:48;2022-10-12T21:35:42
d715a6af-c1f5-4b98-92ee-5e2c49b864ad;marca;Avenida mão Congelado;Rodovia;14;Eduarda.Nogueira29@bol.com.br;INDUSTRIA;true;2022-10-13T10:08:50;2022-10-13T17:40:12
edd2d955-af58-44d4-b99d-34403dfa654a;Música Refinado secured;capacitor Senior;info-mediaries 24/7;14;Karla_Oliveira@yahoo.com;INDUSTRIA;false;2022-10-12T22:53:19;2022-10-13T07:54:35
